331_dc_iw1={2.40		/	0.046	,	2.2	/	0.048	,	2.2	/	0.0496	,	2.4	/	0.0454	,	2.3	/	0.0458	,	2.9	/	0.049	,	2.7	/	0.0472	,	2.5	/	0.0494	,	6.258148631	/	0.0497	}
331_dc_iw10={2.30		/	0.0466	,	2.2	/	0.0477	,	2.7	/	0.047	,	2.9	/	0.0469	,	2.6	/	0.0469	,	3.6	/	0.0491	,	2.7	/	0.0461	,	2.5	/	0.046	,	6.844850065	/	0.0494	}
331_dc_iw11={2.30		/	0.0487	,	2.3	/	0.0443	,	2.2	/	0.0474	,	2.3	/	0.0481	,	2.5	/	0.0499	,	3	/	0.0466	,	3.5	/	0.0472	,	2.5	/	0.047	,	6.64928292	/	0.0486	}
331_dc_iw12={2.30		/	0.049	,	2.3	/	0.0443	,	2.2	/	0.0485	,	2.3	/	0.0469	,	2.6	/	0.0469	,	2.9	/	0.0499	,	2.7	/	0.0463	,	2.5	/	0.0471	,	6.258148631	/	0.0492	}
331_dc_iw14={2.30		/	0.0485	,	2.2	/	0.0496	,	2.2	/	0.0479	,	2.3	/	0.0489	,	2.2	/	0.0494	,	2.8	/	0.0473	,	3.5	/	0.0465	,	2.5	/	0.0484	,	6.518904824	/	0.0498	}
331_dc_iw15={2.30		/	0.049	,	2.3	/	0.0452	,	2.2	/	0.0479	,	2.3	/	0.0489	,	2.2	/	0.0496	,	2.9	/	0.0476	,	2.7	/	0.0454	,	2.5	/	0.0481	,	6.258148631	/	0.048	}
331_dc_iw16={2.30		/	0.0497	,	2.3	/	0.0456	,	2.2	/	0.0495	,	2.3	/	0.0494	,	2.2	/	0.0499	,	2.9	/	0.0479	,	2.7	/	0.0474	,	2.5	/	0.0498	,	6.258148631	/	0.0495	}
331_dc_iw18={2.30		/	0.0494	,	2.2	/	0.0486	,	2.2	/	0.05	,	2.3	/	0.0493	,	2.2	/	0.05	,	2.9	/	0.0498	,	2.7	/	0.0478	,	2.5	/	0.0496	,	6.258148631	/	0.0495	}
331_dc_iw19={2.40		/	0.0458	,	2.2	/	0.0483	,	2.2	/	0.0489	,	2.3	/	0.0499	,	2.3	/	0.046	,	2.9	/	0.0489	,	2.7	/	0.0471	,	2.5	/	0.0497	,	6.258148631	/	0.0495	}
331_dc_iw2={2.40		/	0.0454	,	2.2	/	0.0484	,	2.2	/	0.0493	,	2.3	/	0.0495	,	2.3	/	0.0458	,	2.9	/	0.0481	,	2.7	/	0.0472	,	2.5	/	0.0496	,	6.258148631	/	0.0491	}
331_dc_iw20={2.40		/	0.046	,	2.2	/	0.0478	,	2.2	/	0.05	,	2.4	/	0.0458	,	2.3	/	0.0464	,	3	/	0.0458	,	2.7	/	0.0485	,	2.6	/	0.0458	,	6.323337679	/	0.0486	}
331_dc_iw21={2.40		/	0.0461	,	2.2	/	0.048	,	2.3	/	0.0457	,	2.4	/	0.0455	,	2.3	/	0.0462	,	3	/	0.0461	,	2.7	/	0.0487	,	2.6	/	0.0459	,	6.323337679	/	0.0488	}
